Solanum_lycopersicum.SL3.0.dna.chromosome.1	Solanum_lycopersicum.SL3.0.dna.chromosome.10	Solanum_lycopersicum.SL3.0.dna.chromosome.11	Solanum_lycopersicum.SL3.0.dna.chromosome.12	Solanum_lycopersicum.SL3.0.dna.chromosome.2	Solanum_lycopersicum.SL3.0.dna.chromosome.3	Solanum_lycopersicum.SL3.0.dna.chromosome.4	Solanum_lycopersicum.SL3.0.dna.chromosome.5	Solanum_lycopersicum.SL3.0.dna.chromosome.6	Solanum_lycopersicum.SL3.0.dna.chromosome.7	Solanum_lycopersicum.SL3.0.dna.chromosome.8	Solanum_lycopersicum.SL3.0.dna.chromosome.9
Super-Scaffold_1000001	10.8642449513158	11.1918899658998	10.2699476826227	11.665944835455	9.82953609546284	10.5059870045627	10.3424512356516	10.6390583676603	10.0291204485826	10.3309033115086	10.7997824501465	47.2619073527663
Super-Scaffold_1000002	7.78023991819601	7.64037743151289	7.82324834029915	46.8886488429101	7.39138444517533	7.78843526212201	7.43796548011484	8.00384436133256	7.46904455886091	8.58590390675162	7.63955502311244	7.75882634893051
Super-Scaffold_1000003	8.84973240868514	8.64523426024452	8.50891709360602	9.21976878449324	8.15424159733795	8.49667856257557	8.33880957573667	8.61057484787902	8.00824380641072	43.0665731515075	8.50384831693656	8.80963688453141
Super-Scaffold_1000004	1.50926950652302	1.43911345029529	1.34060068904794	1.4006747606343	32.4422091452452	1.39114989100876	1.43659295413494	1.45734548847474	1.2657495909529	1.38044789126912	1.38446451081876	1.46377252904046
Super-Scaffold_1000005	8.26003809904677	8.34364463123874	8.16012691374558	8.38065353025942	7.95380741474552	50.8731146496309	8.10689184083862	8.50948787645829	7.98259502062172	8.33294767533364	8.38299125984028	8.43801232960912
Super-Scaffold_1000006	10.2324974981005	47.5948280363746	11.2864600841072	10.682062324706	9.68095215274122	10.2396833240687	10.6195148383492	11.2155653976285	9.58204320017976	10.0803037951334	9.96430201469876	10.3278884194664
Super-Scaffold_1000007	56.9752154312924	4.5698938455096	4.31589640539208	4.40773015654299	4.07329737169885	4.29941835802248	4.34823165512686	4.28947457605073	4.11344192801826	4.46502234926569	4.36750350501639	4.49309634465189
Super-Scaffold_1000008	8.97323337708569	7.98459539609758	8.21984603719311	35.9708021663661	7.15289660321326	7.36858769213098	7.45995327347833	7.67754871368894	7.15725463790275	8.49152904926427	7.49176792549725	9.00961580877916
Super-Scaffold_1000009	9.27651160443504	9.62725619726537	9.42449829789092	9.44597048161443	8.80799057175566	9.15456976256039	51.6935706072136	10.3809883148175	8.97565505987271	9.3487589501203	9.85769204388455	9.49599562927148
Super-Scaffold_1000010	8.11382048883617	9.41315698007102	8.29382212373974	8.08235171518233	7.40414753819091	8.03979430167465	53.4109267719203	8.40096446830377	8.22928711340303	8.11510594736734	8.06311351784447	8.36226967047957
Super-Scaffold_1000011	1.43392602651589	1.38007507342241	1.65208384335555	1.52022432752617	1.29286185146545	1.389931267257	1.41608968886866	19.3905064660421	1.34107541286732	1.42314104929603	1.39532375586693	1.5070965981853
Super-Scaffold_1000012	18.9000596138042	8.26126541931991	7.35629911897403	7.57302974419139	7.27334271537503	7.52260354594182	7.21317755179828	7.31412270034816	7.46911653001799	7.63112344530172	7.4408786834609	7.56185312207783
Super-Scaffold_1000013	2.03243432139909	1.99939737192877	1.95256155852689	2.05276818449046	1.81163266541642	1.98255908881287	1.89638932371535	2.11047252456785	14.7892732996644	1.9706989082436	2.01119309499494	1.85494314922601
Super-Scaffold_1000014	9.82786353378252	10.1387739965346	30.90547162627	10.1199419875459	9.73205729670908	9.90412995287333	9.58875814858401	9.71854994174249	9.05208878991956	9.70310683642143	9.60183652840279	9.94256612611687
Super-Scaffold_1000016	9.00959330956829	8.85676474607564	8.95902956468561	9.16727329141368	8.35575954285541	8.91859515482511	8.77523840811636	9.01584269462584	8.56727901359943	8.88703427938755	44.9930963546774	9.61833672646311
Super-Scaffold_1000017	9.3380304899301	9.11681484269467	8.9683517024278	8.75606263641095	8.23238727233085	9.03895521762152	8.91663669388665	9.29550307375427	8.58911120658319	44.5071683231304	8.90060190910513	9.13552934191608
Super-Scaffold_1000018	6.12848554954742	5.71150210261255	50.1711602013615	5.95002314560961	5.35372712855251	5.64782531444286	5.46905975047029	5.65514728832575	5.62182604624482	5.56482536927528	6.36350707127372	5.56613027551184
Super-Scaffold_1000019	9.49275973899686	9.13246033837056	8.86490350355096	9.16074472933511	8.71227494130659	50.900616400103	8.60900829230237	9.05110051526909	8.65510436382504	8.82669682494134	8.90214143810056	9.59605574388168
Super-Scaffold_1000020	9.71970520323849	48.7312147303057	9.63326477713332	10.2660559210744	9.0388000981519	9.77685601864332	9.82881793063471	11.7918485971268	9.24806886432759	9.4195140227564	9.29228386012728	9.66445649989954
Super-Scaffold_1000021	6.51852125741934	6.01959093320446	5.69822817805849	5.9560561494727	5.49963858082041	5.64765205991573	6.03959744638775	5.90890847935918	5.8166441691039	5.93612775282678	5.53769001413736	28.3478230830549
Super-Scaffold_1000022	7.66887080452636	7.69708271208055	45.7878353561683	7.68994762506364	6.95017500782878	7.35056664482726	7.71170397769776	7.85040780419962	7.20972229222032	7.48775284964616	7.81742784643254	7.41379710643908
Super-Scaffold_1000025	1.5850802472497	1.38331359483919	0.937840631615177	1.31588574624653	1.34981355745354	64.7892683668478	1.34677458093093	1.29613685482684	1.30610933203742	1.36746813953946	1.57952809952657	1.33697143085798
Super-Scaffold_1000026	9.7807584764505	9.46624828244221	9.40728285313569	9.88680207194159	9.05719458288211	9.36109413885726	9.90863026813208	66.4452175583666	9.40786884497973	9.71849684302126	9.7154413141202	9.70260181425168
Super-Scaffold_1000027	1.17689374409532	1.2449093100951	1.13214298486912	1.26487718268219	1.11466178298201	1.17989265033275	0.992265429651993	1.19161818745362	66.7278710522473	1.03762155814972	1.25298400483997	1.29074973401006
Super-Scaffold_1000028	13.4516703590686	13.0040492798139	12.709500445714	13.2118798552019	12.591263085123	12.4055888379638	12.7175119900044	56.3854787118127	12.2649843190312	13.0997278183242	12.9820941985111	12.6768888605227
Super-Scaffold_1000029	7.1585408375427	6.53118647525064	6.54337365411755	6.81229240834487	5.79763612913108	6.85514083555446	6.90006955160387	7.18989244722602	6.4313418157571	6.50654517779842	48.8399904417171	6.52113481413079
Super-Scaffold_1000031	45.0896160738824	9.90233199399455	9.73371840269655	10.207794361149	9.2591768177038	9.14116888161048	9.71940890414226	9.99671790072842	9.23880281738127	9.83857522821379	9.73626231355064	9.66215955318023
Super-Scaffold_1000033	30.1732304930783	2.11094199039932	2.19281329234006	2.35614498106815	2.07527738898277	2.48158745875616	2.40708429060033	2.26312229203372	2.14154808458278	2.16941946757299	2.21466264290991	2.25430887046792
Super-Scaffold_1000034	24.7273388109055	7.59074141422345	7.48975824063302	7.64622036929476	7.33351679198349	7.21896179764173	7.22316575187446	7.45894027692693	7.76405246181794	7.54736675782222	7.54402345563714	7.48579703441372
Super-Scaffold_1000035	7.25621391166501	30.9291454869399	6.74689558460562	7.0589855861186	6.47750752534228	6.67342611389744	6.8817533313612	7.11243640436549	6.51160585045965	6.65744958077125	6.77992128029049	6.83299950094504
Super-Scaffold_1000036	1.16507962390307	1.56366456337761	1.15846739152997	1.20189627697079	1.08266210615222	1.31689348335611	65.1728264211966	1.21363352440331	1.2210803103769	1.30669695026296	1.35199823160232	1.26004754387666
Super-Scaffold_1000037	3.30162895927602	2.78171945701357	2.75212669683258	2.71212669683258	2.60090497737557	3.19484162895928	2.83547511312217	47.7765610859729	2.92597285067873	2.96923076923077	2.78307692307692	2.72235294117647
Super-Scaffold_1000038	14.9858054684792	5.07417939562181	5.18388421932703	5.06701616847815	5.43693715688888	5.2360086355091	5.08081731944161	5.2170618997141	4.80954590751104	5.24290921099083	5.22071514555737	5.26035166908565
Super-Scaffold_1000039	7.17659839784932	6.95408634202363	6.86537581461519	7.01945859772348	6.5091762981714	6.84547098366138	6.50929036597056	6.9971811565471	6.98689224106267	47.7132600166357	7.05670173414994	6.9950709022626
Super-Scaffold_1000040	9.09903702407946	9.02899768324041	8.64225514358681	9.22572925366834	8.44210167845304	9.28637891543458	8.69701914645901	49.2288007463563	8.24754643305802	9.2128629295744	9.09802414324654	8.94371037959215
Super-Scaffold_1000042	4.73187390810789	49.9901804824593	3.94963120131896	4.54948217409308	4.01103391461964	4.5180706437124	4.94235847603273	5.22429744698007	4.36095836306048	4.33266067134362	4.28744172478255	7.27025333535824
Super-Scaffold_1000043	17.8936359031084	3.29976709189196	3.1932735602805	3.21633376899771	3.40660280724567	3.59880592751507	3.15236028674998	3.2409858759941	3.23735575281539	3.59593455959093	3.17454271978053	3.43594134375556
Super-Scaffold_1000046	1.68071623432437	1.80323080314005	1.08666090600073	1.53202698920295	1.08177984748217	1.42125746744753	1.52267671147834	1.52401900257095	1.51622456224913	69.2471043501671	1.96627341096759	1.70849250795651
Super-Scaffold_1000047	11.5387529552877	10.7183034561937	10.8970815049397	11.3070494125383	10.1410672296642	10.7441000193916	10.4031423328184	56.7655700799677	9.81961347855177	10.112541720764	10.9254785928657	11.9339363982283
Super-Scaffold_1000049	10.5941805020575	10.5108658181639	10.0961157840339	10.391893820999	9.92322145124018	10.1710148432917	10.1659498840202	10.3390000617146	9.63040446738759	10.5029333127202	11.8816308109109	45.8532632987129
Super-Scaffold_1000050	10.7209188421044	10.7806142971747	10.3657459781036	9.96566945320925	9.12710301956366	10.1542836960467	9.67873883351609	9.67368245489446	8.88703823754263	9.84042974690184	9.84612760639338	9.95697172729667
Super-Scaffold_1000051	47.2593160577047	9.33510001930723	9.41529603328559	8.97430273020378	8.38222132361995	9.30519606166361	9.20889302585029	9.2081300616581	8.31970064676051	8.98201714592474	9.38568878393892	9.29341250358434
Super-Scaffold_1000059	9.10555066435565	8.99706099132266	9.30968678144546	9.43657972175914	9.34244965178537	46.6263433695854	9.47777455101542	9.76942383298932	8.44461834242851	9.33555704231695	9.29571775958946	9.72317442345619
Super-Scaffold_1000062	1.22344592562042	1.51246480273053	1.01283099251782	1.23224723603775	1.14312865326132	1.29525951641689	1.28709598211676	1.2730436483345	1.19030282673005	1.11908449364297	1.3814018106464	65.1686864681978
Super-Scaffold_1000063	58.9714517350668	1.26195868783505	0.266014162910235	1.05858745927979	0.246711131047364	1.35130414960034	1.23350969563715	1.24265565597217	1.24274757517152	1.10123796777681	1.24270161557185	1.36109354433079
Super-Scaffold_1000067	5.95678118120401	6.11960731179134	5.92320073220998	6.17630360474406	4.91172637088278	5.25666786671217	5.15061612314497	5.1487418655267	5.3368704739607	5.37021664075245	6.62065884840926	48.8390926406494
Super-Scaffold_1000070	1.04312569469343	71.4817765327405	0.183610111000548	0.78322362978923	0.230767999200451	0.995992064666467	1.07679603873739	0.963025207637831	0.765345356330728	0.948543078391256	0.988714612783766	0.920670437680511
Super-Scaffold_1000074	9.27586449991973	9.10284899457879	32.290807044317	9.62444290547566	9.14665826223831	8.95104203260784	8.87050288536901	9.6676597557226	9.69893939510628	9.42909326368084	9.59846540193448	9.54840613057235
Super-Scaffold_1000082	4.74502148442911	4.67755111969722	3.16982327967463	4.61356069866458	3.01072565948312	4.05518177131161	3.90466575985415	4.20215026734752	4.13991671109507	4.0126453721141	4.29387888039062	50.2072762582024
Super-Scaffold_1000083	79.1046899436604	11.9692958489571	11.0834071338396	10.1066495826346	11.5557460760114	11.1757362778165	10.489862636845	12.2352132049519	11.3761753123175	11.9762676414614	11.3357577584745	11.2724934521679
Super-Scaffold_1000089	23.9990275187909	4.07944905259424	4.23193755135965	4.17008085609666	3.65639623676394	3.77940493076161	4.46362610994597	3.95992469143101	4.02045029325163	3.74279986109648	4.17826316578651	4.55139997752801
Super-Scaffold_1000098	21.8956193148391	13.7200185545549	13.4378535547812	13.7488120559352	13.3592795402091	13.5921731456759	13.5965855093452	13.2296804996153	13.5816513553876	13.3874507851745	14.1613680590125	49.1337625016971
Super-Scaffold_1000101	21.6735630626647	3.67607072898575	3.89836111022253	4.3477715452004	3.5957225409597	4.46575354494826	3.99244563952704	3.80691094773855	4.00536658155153	4.4451176715208	4.02186273568959	4.14856323515299
Super-Scaffold_1000102	29.1984177280409	5.23184071142987	5.75447735048019	5.39484666749104	5.72233986645233	5.65838691727464	5.0614283211739	4.72163400107168	5.20253699352871	5.95264776802275	5.79685503482956	5.53498928321174
